,T6,,,,,,,,,T8,,,,,,,,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
Frame,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,-140.383,-31.7659,1766.02,-146.949,-18.2239,1747.09,-129.533,-28.8121,1744.11,-22.5043,108.201,1800.23,-15.7077,105.84,1782.22,-34.9292,117.099,1786.24
2,-138.291,-29.9311,1766.3,-145.039,-16.7506,1747.42,-126.776,-25.7611,1744.14,-22.0101,108.828,1799.93,-14.9345,106.557,1781.87,-34.0177,117.881,1785.98
3,-137.155,-28.9994,1766.39,-144.009,-15.6871,1747.34,-126.078,-25.6905,1744.68,-21.4634,109.514,1799.61,-14.3961,107.03,1781.71,-33.4662,118.376,1785.72
4,-134.81,-27.114,1766.65,-141.879,-14.2265,1747.69,-123.394,-23.0584,1744.64,-20.7877,110.238,1799.4,-13.578,107.944,1781.38,-32.7848,119.097,1785.42
5,-133.566,-26.0937,1766.81,-140.648,-13.1215,1747.77,-122.165,-21.9097,1744.69,-20.0441,110.943,1799.07,-13.2952,108.424,1781.28,-32.4299,119.745,1785.18
6,-132.3,-25.0998,1766.84,-139.421,-12.3226,1747.87,-121.022,-21.1501,1744.79,-19.6503,111.716,1798.67,-12.4644,109.349,1780.81,-31.7644,120.547,1784.73
7,-131.045,-24.0653,1766.93,-138.173,-11.3227,1747.93,-119.8,-20.21,1744.84,-18.9042,112.56,1798.37,-11.7348,110.16,1780.45,-31.0343,121.349,1784.39
8,-129.743,-23.092,1766.92,-136.971,-10.4389,1747.9,-118.465,-19.1528,1744.84,-18.1234,113.419,1798.01,-11.0761,111.029,1780.13,-30.4384,122.196,1784
9,-128.42,-22.0136,1767,-135.752,-9.89713,1748.05,-117.036,-17.8952,1744.81,-17.3857,114.324,1797.74,-10.6355,111.733,1779.83,-30.0254,122.948,1783.72
10,-127.021,-20.9795,1767.01,-134.559,-9.07572,1747.96,-115.757,-17.1149,1744.92,-16.9485,115.24,1797.39,-9.97648,112.687,1779.37,-29.2003,123.896,1783.37
11,-125.636,-19.9558,1767.04,-133.126,-7.82173,1748,-114.404,-16.1195,1744.89,-16.0104,116.229,1797.02,-9.28901,113.705,1778.96,-28.3991,124.789,1783.01
12,-124.164,-18.9036,1767.02,-131.808,-6.68134,1747.94,-113.007,-15.0758,1744.94,-15.1663,117.346,1796.66,-8.57009,114.741,1778.44,-27.9666,125.775,1782.64
13,-122.669,-17.7963,1767.07,-130.393,-5.63085,1748.01,-111.538,-13.8912,1744.82,-14.6435,118.31,1796.29,-8.00736,115.68,1778.13,-27.155,126.804,1782.25
14,-121.168,-16.7499,1767.13,-128.973,-4.54444,1747.9,-110.235,-13.1037,1744.87,-13.8462,119.487,1795.82,-6.94764,117.036,1777.69,-26.1933,127.946,1781.86
15,-119.723,-15.6944,1767.1,-127.434,-3.40388,1747.9,-108.758,-12.0649,1744.87,-13.1178,120.676,1795.35,-6.43784,117.867,1777.4,-25.8038,128.948,1781.47
16,-118.121,-14.5691,1767.09,-126.077,-2.38507,1747.66,-107.167,-10.8404,1744.75,-12.539,122.027,1794.74,-5.79903,119.05,1776.96,-25.0965,130.07,1781.02
17,-116.538,-13.5483,1767.04,-124.584,-1.33047,1747.59,-105.694,-9.94603,1744.75,-11.6827,123.336,1794.27,-4.85407,120.34,1776.49,-24.1605,131.361,1780.52
18,-114.984,-12.4287,1766.93,-123.189,-0.798856,1747.56,-104.174,-8.8624,1744.66,-10.8073,124.517,1793.86,-4.37641,121.511,1776.1,-23.624,132.466,1780.04
19,-113.339,-11.3929,1766.83,-121.6,0.227977,1747.5,-102.693,-7.83623,1744.52,-10.3567,125.893,1793.45,-3.60822,122.778,1775.59,-23.0373,133.705,1779.65
20,-111.783,-10.378,1766.7,-120.074,1.36445,1746.85,-101.067,-6.84306,1744.43,-9.19462,127.163,1793.03,-2.70381,124.31,1775.08,-21.9586,135.083,1779.07
21,-110.308,-9.34722,1766.49,-118.747,2.02923,1747.14,-99.5551,-5.70547,1744.24,-8.62208,128.621,1792.65,-1.87181,125.665,1774.59,-21.6427,136.305,1778.75
22,-108.808,-8.39273,1766.22,-117.282,3.0845,1746.91,-98.0623,-4.56887,1744.01,-8.03991,129.952,1792.01,-1.41143,126.867,1774.18,-20.6323,137.781,1778.3
23,-107.315,-7.38591,1766.1,-115.757,3.8804,1746.82,-96.6534,-3.7415,1743.91,-6.96197,131.5,1791.6,-0.398514,128.44,1773.65,-19.8358,139.091,1777.73
24,-105.76,-6.38561,1765.92,-114.336,4.94988,1746.65,-95.1067,-2.87302,1743.5,-6.5017,132.972,1791.02,0.180747,129.828,1773.16,-19.413,140.445,1777.27
25,-104.111,-5.31869,1765.79,-112.888,5.81376,1746.59,-93.6177,-1.75054,1743.58,-5.52788,134.497,1790.43,1.21672,131.509,1772.59,-18.5344,141.906,1776.7
26,-102.472,-4.28963,1765.77,-111.535,6.61393,1746.38,-92.1342,-0.795639,1743.36,-4.69878,136.089,1789.94,1.71364,132.754,1772.05,-17.8746,143.383,1776.01
27,-100.871,-3.24272,1765.69,-109.97,7.40799,1746.12,-90.6745,0.178538,1743.12,-4.12699,137.54,1789.41,2.53668,134.439,1771.37,-17.202,144.785,1775.49
28,-99.2936,-2.29625,1765.44,-108.464,8.11322,1745.81,-89.1151,1.19284,1742.81,-3.07344,139.277,1788.69,3.39867,136.056,1770.71,-16.1955,146.387,1775.02
29,-97.7132,-1.34613,1765.16,-106.983,9.05976,1745.64,-87.5957,2.20297,1742.56,-2.57948,140.866,1788.02,4.07003,137.585,1770.17,-15.6995,147.852,1774.35
30,-96.0877,-0.391656,1764.92,-105.495,10.1333,1745.38,-86.1048,3.13654,1742.29,-1.55294,142.28,1787.43,5.05261,139.39,1769.54,-14.9956,149.402,1773.51
31,-92.8533,1.52163,1764.38,-102.466,12.0334,1744.84,-82.975,4.86331,1741.5,-0.954302,144.08,1786.62,5.77648,140.98,1768.73,-14.2134,150.985,1772.74
32,-91.1478,2.36533,1764.13,-100.766,12.9277,1744.46,-81.3943,5.92238,1741.33,-0.0854805,145.783,1785.95,6.29486,142.393,1768.03,-13.4749,152.592,1772.09
33,-89.2597,3.41375,1763.83,-99.2332,13.6448,1744.36,-79.8379,6.77217,1740.99,0.889026,147.415,1785.31,7.12648,144.099,1767.28,-12.3313,154.313,1771.26
34,-87.6953,4.11635,1763.54,-97.8606,14.1552,1743.76,-78.1606,7.60037,1740.69,1.41224,149.084,1784.43,8.13509,145.969,1766.52,-12.0114,155.647,1770.71
35,-86.0794,4.94437,1763.16,-95.9697,15.1266,1743.63,-76.4431,8.44797,1740.34,2.53805,150.822,1783.51,8.8873,147.381,1765.79,-10.8972,157.404,1769.74
36,-84.1192,6.0828,1762.71,-94.5083,15.717,1743.26,-74.9058,9.13902,1739.92,3.07451,152.4,1782.83,9.57887,149.08,1764.97,-10.1959,159.027,1768.87
37,-82.726,6.59051,1762.23,-92.9015,16.3624,1742.86,-73.2064,9.94347,1739.41,4.25644,154.111,1782.07,10.6851,150.934,1764.07,-9.58521,160.334,1768.27
38,-81.0846,7.39813,1761.67,-91.1629,17.1099,1742.25,-71.5483,10.746,1738.91,4.85345,155.655,1781.06,11.4451,152.478,1763.22,-8.59553,161.929,1767.45
39,-79.1406,8.47929,1761.15,-89.6738,17.8016,1741.74,-69.9824,11.4104,1738.38,5.74376,157.328,1780.19,12.2775,154.035,1762.34,-8.11106,163.409,1766.37
40,-77.7456,8.91298,1760.63,-88.0241,18.405,1741.24,-68.2,12.0279,1737.73,6.64841,158.934,1779.22,13.0351,155.603,1761.31,-7.06539,164.928,1765.45
41,-75.9678,9.49393,1760.12,-86.2582,19.097,1740.73,-66.5756,12.8853,1737.28,7.35306,160.475,1778.36,13.8121,157.247,1760.37,-6.44808,166.425,1764.6
42,-73.9359,10.5227,1759.54,-84.7704,19.5503,1740.14,-64.99,13.4576,1736.63,8.3031,162.092,1777.42,14.8765,158.931,1759.54,-5.59488,167.843,1763.87
43,-72.118,11.1071,1758.91,-82.9882,20.3126,1739.42,-63.2251,14.1689,1736.01,8.96804,163.52,1776.43,15.584,160.448,1758.53,-4.7906,169.313,1762.9
44,-70.3388,11.7369,1758.25,-81.2585,20.7489,1738.97,-61.5505,14.7201,1735.38,10.1856,165.184,1775.52,16.3866,162.039,1757.56,-4.25199,170.63,1761.92
45,-68.489,12.2716,1757.6,-79.5353,21.2802,1738.31,-59.7441,15.2982,1734.62,10.8322,166.576,1774.59,17.1235,163.409,1756.56,-3.05097,172.155,1761.02
